CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,1659,1659
0.03,0,0,2013,2013
0.05,0,0,2248,2248
0.07,0,0,2234,2234
0.09,0,0,2047,2047
0.11,0,0,2072,2072
0.13,0,0,2116,2116
0.15,0,0,2141,2141
0.17,0,0,2038,2038
0.19,0,0,2020,2020
0.21,0,0,2121,2121
0.23,0,0,2092,2092
0.25,0,0,2039,2039
0.27,2,0,2058,2060
0.29,4,0,1982,1986
0.31,11,0,1958,1969
0.33,25,3,1838,1866
0.35,55,5,1617,1677
0.37,113,15,1548,1676
0.39,183,25,1272,1480
0.41,229,74,1046,1349
0.43,338,138,784,1260
0.45,419,289,564,1272
0.47,430,445,373,1248
0.49,382,669,206,1257
0.51,367,886,146,1399
0.53,288,1150,53,1491
0.55,176,1418,19,1613
0.57,134,1577,4,1715
0.59,71,1701,5,1777
0.61,50,1941,2,1993
0.63,28,1918,0,1946
0.65,17,1920,0,1937
0.67,9,2044,0,2053
0.69,9,1892,0,1901
0.71,2,1959,0,1961
0.73,6,1939,0,1945
0.75,1,2039,0,2040
0.77,1,1996,0,1997
0.79,0,2048,0,2048
0.81,0,2070,0,2070
0.83,0,2020,0,2020
0.85,0,1956,0,1956
0.87,0,2144,0,2144
0.89,0,2095,0,2095
0.91,0,2103,0,2103
0.93,0,2205,0,2205
0.95,0,2099,0,2099
0.97,0,1975,0,1975
0.99,0,1630,0,1630
