CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,1575,1575
0.03,0,0,1950,1950
0.05,0,0,2132,2132
0.07,0,0,2135,2135
0.09,0,0,2090,2090
0.11,0,0,2020,2020
0.13,0,0,2126,2126
0.15,0,0,2020,2020
0.17,0,0,1996,1996
0.19,0,0,2066,2066
0.21,0,0,1982,1982
0.23,1,0,1989,1990
0.25,0,0,1937,1937
0.27,1,0,1946,1947
0.29,5,0,1946,1951
0.31,16,0,2029,2045
0.33,22,1,1929,1952
0.35,49,2,1925,1976
0.37,89,2,1908,1999
0.39,121,9,1899,2029
0.41,251,15,1763,2029
0.43,315,33,1647,1995
0.45,453,53,1524,2030
0.47,532,116,1342,1990
0.49,648,196,1117,1961
0.51,779,302,848,1929
0.53,825,459,692,1976
0.55,904,648,454,2006
0.57,805,834,353,1992
0.59,711,1028,222,1961
0.61,635,1179,144,1958
0.63,485,1373,84,1942
0.65,382,1595,38,2015
0.67,255,1755,23,2033
0.69,177,1743,9,1929
0.71,113,1849,4,1966
0.73,82,1910,2,1994
0.75,32,1983,2,2017
0.77,18,1916,1,1935
0.79,14,1897,0,1911
0.81,9,1935,1,1945
0.83,7,2052,0,2059
0.85,5,2031,0,2036
0.87,0,2069,0,2069
0.89,0,2039,0,2039
0.91,0,2033,0,2033
0.93,0,2120,0,2120
0.95,0,2059,0,2059
0.97,0,1825,0,1825
0.99,0,1622,0,1622
