CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,0,0
0.03,0,0,0,0
0.05,0,0,0,0
0.07,0,0,0,0
0.09,0,0,0,0
0.11,0,0,0,0
0.13,0,0,0,0
0.15,0,0,0,0
0.17,0,0,1,1
0.19,0,0,1,1
0.21,0,0,1,1
0.23,0,0,2,2
0.25,1,0,13,14
0.27,2,0,18,20
0.29,14,0,42,56
0.31,14,0,48,62
0.33,29,2,71,102
0.35,39,8,77,124
0.37,80,11,109,200
0.39,82,25,101,208
0.41,126,44,167,337
0.43,195,46,159,400
0.45,244,100,143,487
0.47,277,174,149,600
0.49,315,230,155,700
0.51,358,303,115,776
0.53,375,395,145,915
0.55,404,511,96,1011
0.57,456,596,82,1134
0.59,405,735,67,1207
0.61,390,855,58,1303
0.63,367,929,54,1350
0.65,340,1081,32,1453
0.67,285,1122,19,1426
0.69,291,1261,12,1564
0.71,256,1385,9,1650
0.73,232,1459,9,1700
0.75,171,1504,11,1686
0.77,143,1613,6,1762
0.79,124,1715,0,1839
0.81,104,1681,0,1785
0.83,75,1755,1,1831
0.85,79,1883,0,1962
0.87,78,1927,1,2006
0.89,49,1876,0,1925
0.91,59,1928,1,1988
0.93,62,2116,0,2178
0.95,60,1977,0,2037
0.97,44,1878,0,1922
0.99,33,1534,0,1567
