CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,226,7,1355,1588
0.03,233,8,1720,1961
0.05,276,13,1751,2040
0.07,288,9,1863,2160
0.09,299,14,1762,2075
0.11,284,12,1801,2097
0.13,293,16,1723,2032
0.15,311,8,1609,1928
0.17,329,24,1539,1892
0.19,350,24,1618,1992
0.21,415,29,1549,1993
0.23,463,27,1512,2002
0.25,481,46,1473,2000
0.27,490,57,1304,1851
0.29,523,71,1206,1800
0.31,604,88,1192,1884
0.33,629,128,977,1734
0.35,668,194,907,1769
0.37,661,267,716,1644
0.39,617,373,606,1596
0.41,522,566,430,1518
0.43,490,698,249,1437
0.45,381,930,178,1489
0.47,341,1139,125,1605
0.49,234,1387,77,1698
0.51,163,1477,28,1668
0.53,123,1686,13,1822
0.55,60,1734,5,1799
0.57,35,1825,6,1866
0.59,27,1856,1,1884
0.61,10,1956,1,1967
0.63,7,1867,0,1874
0.65,2,1873,0,1875
0.67,1,1936,0,1937
0.69,0,2000,0,2000
0.71,0,2015,0,2015
0.73,0,1999,0,1999
0.75,0,2004,0,2004
0.77,0,1968,0,1968
0.79,0,2058,0,2058
0.81,0,1901,0,1901
0.83,0,1955,0,1955
0.85,0,1980,0,1980
0.87,0,2067,0,2067
0.89,0,2007,0,2007
0.91,0,2105,0,2105
0.93,0,2167,0,2167
0.95,0,2150,0,2150
0.97,0,1979,0,1979
0.99,0,1688,0,1688
