original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
9,4,0.33,0.902056,0.35,0.853583,0.59,0.12649,0.61,0.0926756,0.330848307,0.605667881,0.274819574,0.034606251,0.002491012
20,5,0.39,0.904822,0.41,0.867542,0.65,0.142119,0.67,0.0979713,0.39258691,0.669080949,0.276494039,,
20,3,0.29,0.915694,0.31,0.887789,0.57,0.114913,0.59,0.0779543,0.301248163,0.578070089,0.276821926,,
9,6,0.41,0.91601,0.43,0.890034,0.69,0.121212,0.71,0.0813253,0.422326763,0.700636127,0.278309364,,
20,4,0.33,0.919283,0.35,0.882497,0.61,0.119497,0.63,0.0790514,0.34048388,0.619641098,0.279157218,,
14,4,0.33,0.919154,0.35,0.87638,0.61,0.111906,0.63,0.0865687,0.338955908,0.619398002,0.280442094,,
3,3,0.27,0.928783,0.29,0.875912,0.55,0.115551,0.57,0.0895813,0.28088801,0.561976265,0.281088254,,
13,1,0.19,0.910468,0.21,0.89711,0.47,0.146454,0.49,0.0942623,0.205673005,0.487801298,0.282128293,,
10,3,0.27,0.92846,0.29,0.879747,0.55,0.135618,0.57,0.0896345,0.281684766,0.565491644,0.283806878,,
14,3,0.29,0.904199,0.31,0.868421,0.57,0.113625,0.59,0.0733668,0.292347253,0.576768807,0.284421555,,
14,2,0.23,0.921811,0.25,0.887059,0.51,0.134067,0.53,0.0951447,0.242552371,0.527505132,0.284952761,,
18,4,0.33,0.936599,0.35,0.888255,0.63,0.10151,0.65,0.0562099,0.345141072,0.630666665,0.285525593,,
9,1,0.17,0.910909,0.19,0.896648,0.47,0.101112,0.49,0.0764137,0.185299067,0.470900467,0.285601399,,
5,2,0.23,0.927383,0.25,0.886999,0.51,0.145689,0.53,0.098369,0.243561311,0.529310651,0.285749339,,
3,8,0.51,0.900726,0.53,0.854271,0.79,0.114,0.81,0.0712531,0.510312561,0.796550183,0.286237622,,
17,4,0.35,0.900232,0.37,0.84378,0.63,0.113834,0.65,0.071599,0.350082194,0.636550965,0.286468771,,
14,10,0.61,0.905852,0.63,0.857442,0.89,0.113625,0.91,0.0834106,0.612417682,0.899018878,0.286601196,,
6,3,0.29,0.903394,0.31,0.880682,0.57,0.120434,0.59,0.0789474,0.292988728,0.579850892,0.286862163,,
10,5,0.37,0.923077,0.39,0.864989,0.65,0.13174,0.67,0.0900856,0.377945531,0.665239687,0.287294156,,
17,11,0.63,0.938907,0.65,0.898426,0.93,0.110319,0.95,0.0807839,0.649222351,0.936987618,0.287765267,,
17,7,0.47,0.902834,0.49,0.891735,0.75,0.120984,0.77,0.0885496,0.475106766,0.762939348,0.287832582,,
13,3,0.29,0.910162,0.31,0.861768,0.57,0.125254,0.59,0.0833749,0.294199694,0.582060431,0.287860737,,
3,1,0.17,0.909584,0.19,0.895688,0.47,0.101939,0.49,0.0821159,0.183793898,0.471956304,0.288162406,,
10,1,0.19,0.912102,0.21,0.87067,0.47,0.128803,0.49,0.0877727,0.195841861,0.484039868,0.288198007,,
18,1,0.19,0.916667,0.21,0.876836,0.47,0.158869,0.49,0.0896483,0.198368858,0.487009074,0.288640215,,
18,3,0.29,0.905276,0.31,0.873303,0.57,0.129157,0.59,0.0815324,0.293300285,0.582244512,0.288944228,,
16,3,0.27,0.932264,0.29,0.892697,0.57,0.107838,0.59,0.0783224,0.28630854,0.57531109,0.28900255,,
3,4,0.31,0.904692,0.33,0.894231,0.59,0.143932,0.61,0.0960699,0.318970462,0.60835774,0.289387279,,
8,2,0.25,0.905563,0.27,0.866286,0.53,0.123125,0.55,0.086,0.252832701,0.542457912,0.289625211,,
15,2,0.23,0.917323,0.25,0.880649,0.53,0.100152,0.55,0.0580222,0.23944702,0.530072158,0.290625138,,
10,2,0.23,0.910112,0.25,0.865789,0.51,0.139428,0.53,0.0893313,0.234562868,0.525740757,0.291177889,,
14,9,0.55,0.913889,0.57,0.880184,0.83,0.146154,0.85,0.0986614,0.558241507,0.849436291,0.291194784,,
16,8,0.51,0.924503,0.53,0.880048,0.81,0.102323,0.83,0.0820388,0.521023732,0.812290453,0.291266721,,
13,7,0.47,0.910692,0.49,0.869021,0.75,0.126537,0.77,0.0945946,0.475131626,0.766615533,0.291483907,,
6,1,0.19,0.910615,0.21,0.859473,0.47,0.130061,0.49,0.0916708,0.194151187,0.485660768,0.291509581,,
5,7,0.47,0.918075,0.49,0.868798,0.75,0.136643,0.77,0.0978767,0.47733608,0.768904564,0.291568484,,
5,1,0.19,0.91018,0.21,0.885542,0.49,0.100344,0.51,0.0623403,0.198263658,0.490181035,0.291917377,,
15,3,0.27,0.938931,0.29,0.889328,0.57,0.111168,0.59,0.0820253,0.285697034,0.577664355,0.291967321,,
20,10,0.61,0.902913,0.63,0.866332,0.89,0.122498,0.91,0.0895452,0.61159263,0.903654682,0.292062052,,
12,8,0.49,0.930016,0.51,0.897616,0.79,0.116592,0.81,0.0861805,0.508528395,0.800911662,0.292383267,,
4,1,0.19,0.903469,0.21,0.862864,0.47,0.114738,0.49,0.0941884,0.191708657,0.484343832,0.292635175,,
17,6,0.41,0.909091,0.43,0.898305,0.71,0.11791,0.73,0.080281,0.426857037,0.719519254,0.292662217,,
10,6,0.41,0.920058,0.43,0.883616,0.71,0.107198,0.73,0.0686226,0.421008177,0.713731912,0.292723735,,
11,1,0.19,0.9141,0.21,0.867688,0.47,0.161155,0.49,0.0967583,0.196076015,0.488993209,0.292917194,,
16,9,0.57,0.902813,0.59,0.871707,0.85,0.127533,0.87,0.0901408,0.571808654,0.864726601,0.292917946,,
2,1,0.19,0.923208,0.21,0.896679,0.49,0.122268,0.51,0.0798403,0.207496325,0.500496916,0.293000591,,
14,1,0.19,0.910591,0.21,0.859691,0.47,0.141913,0.49,0.0937653,0.194161493,0.487410177,0.293248684,,
3,7,0.43,0.934122,0.45,0.899709,0.73,0.11976,0.75,0.0898652,0.449830878,0.74321969,0.293388813,,
13,5,0.37,0.902128,0.39,0.897583,0.67,0.105187,0.69,0.0683678,0.379364136,0.672817552,0.293453415,,
11,3,0.27,0.919762,0.29,0.889908,0.57,0.110668,0.59,0.0802775,0.283239097,0.577020615,0.293781518,,
7,7,0.47,0.90134,0.49,0.858617,0.75,0.135122,0.77,0.0866534,0.470627297,0.764492682,0.293865385,,
13,4,0.33,0.911594,0.35,0.863953,0.61,0.142499,0.63,0.0983447,0.334867236,0.62925022,0.294382984,,
7,6,0.41,0.916786,0.43,0.89601,0.71,0.122367,0.73,0.0812352,0.42615903,0.72087577,0.29471674,,
1,3,0.27,0.93892,0.29,0.894805,0.57,0.122284,0.59,0.0872894,0.287644792,0.582735679,0.295090887,,
13,2,0.23,0.919866,0.25,0.888614,0.53,0.115731,0.55,0.0776942,0.242713426,0.538271463,0.295558037,,
19,7,0.45,0.908789,0.47,0.891892,0.75,0.112069,0.77,0.0723077,0.46040303,0.756070727,0.295667697,,
8,10,0.61,0.921053,0.63,0.887059,0.91,0.114653,0.93,0.0795294,0.622386303,0.918343678,0.295957374,,
9,2,0.21,0.936752,0.23,0.88151,0.51,0.115228,0.53,0.0823529,0.223305818,0.519264154,0.295958336,,
10,4,0.31,0.914754,0.33,0.891102,0.61,0.114746,0.63,0.0801749,0.322475901,0.618530825,0.296054924,,
8,1,0.19,0.913408,0.21,0.861374,0.49,0.102866,0.51,0.0673813,0.195153553,0.491615344,0.296461791,,
2,8,0.53,0.909898,0.55,0.879479,0.83,0.103517,0.85,0.0803059,0.536507775,0.833030447,0.296522672,,
20,6,0.41,0.917098,0.43,0.88251,0.71,0.112198,0.73,0.0741675,0.419886666,0.716414851,0.296528185,,
19,6,0.41,0.910511,0.43,0.870436,0.71,0.102514,0.73,0.0748744,0.415245664,0.711819129,0.296573465,,
11,4,0.31,0.924051,0.33,0.896175,0.61,0.143526,0.63,0.0832065,0.327255704,0.624431817,0.297176113,,
16,1,0.17,0.93125,0.19,0.895082,0.47,0.135847,0.49,0.0873689,0.187280469,0.484788946,0.297508477,,
5,3,0.27,0.901582,0.29,0.898848,0.57,0.114475,0.59,0.0826153,0.281572787,0.579086715,0.297513927,,
5,5,0.37,0.908702,0.39,0.885445,0.67,0.109055,0.69,0.0749102,0.377483338,0.675303882,0.297820544,,
8,3,0.27,0.939086,0.29,0.890977,0.57,0.13866,0.59,0.0838207,0.286248935,0.584099378,0.297850443,,
2,3,0.29,0.917942,0.31,0.88568,0.59,0.122955,0.61,0.0717975,0.301122683,0.598974246,0.297851563,,
9,10,0.59,0.906024,0.61,0.869656,0.89,0.102813,0.91,0.0569923,0.593312802,0.891227829,0.297915027,,
9,5,0.35,0.919629,0.37,0.865952,0.65,0.1082,0.67,0.077332,0.357313747,0.655312945,0.297999198,,
6,11,0.63,0.902406,0.65,0.889522,0.93,0.102101,0.95,0.0786778,0.633734865,0.931793948,0.298059083,,
17,3,0.27,0.918129,0.29,0.897647,0.57,0.117677,0.59,0.0952611,0.287702373,0.585771841,0.298069468,,
19,5,0.37,0.900277,0.39,0.888528,0.65,0.124479,0.67,0.0982368,0.370471529,0.66865621,0.298184681,,
8,4,0.33,0.906162,0.35,0.888634,0.63,0.110725,0.65,0.0731205,0.337031036,0.635704105,0.298673069,,
17,1,0.19,0.904615,0.21,0.868938,0.49,0.102525,0.51,0.0625954,0.192587101,0.491264726,0.298677625,,
6,7,0.45,0.901823,0.47,0.868327,0.73,0.140271,0.75,0.099851,0.451088488,0.749926274,0.298837786,,
16,2,0.23,0.904762,0.25,0.885714,0.53,0.109007,0.55,0.0629723,0.235,0.533913135,0.298913135,,
14,8,0.49,0.917785,0.51,0.891129,0.79,0.13004,0.81,0.0819838,0.503344088,0.802502029,0.299157941,,
14,7,0.45,0.914706,0.47,0.88457,0.75,0.120761,0.77,0.0745501,0.459759756,0.758985326,0.29922557,,
7,1,0.17,0.916996,0.19,0.893443,0.47,0.138624,0.49,0.0822846,0.184432132,0.483711186,0.299279054,,
1,10,0.59,0.916159,0.61,0.889339,0.89,0.127184,0.91,0.0793434,0.602049963,0.901364406,0.299314443,,
1,2,0.23,0.921764,0.25,0.8779,0.53,0.116603,0.55,0.0806858,0.2399234,0.539245153,0.299321753,,
18,2,0.23,0.910236,0.25,0.863448,0.53,0.106208,0.55,0.0748718,0.234375481,0.533962191,0.29958671,,
15,1,0.17,0.921212,0.19,0.896497,0.47,0.137331,0.49,0.0928571,0.187165284,0.486787824,0.29962254,,
3,9,0.53,0.91938,0.55,0.891492,0.83,0.119962,0.85,0.0904908,0.543898451,0.843546785,0.299648334,,
19,3,0.27,0.92785,0.29,0.877173,0.57,0.117936,0.59,0.084466,0.280991179,0.580717658,0.299726478,,
1,8,0.49,0.947458,0.51,0.895137,0.79,0.153964,0.81,0.0944056,0.508141091,0.808121373,0.299980283,,
7,5,0.35,0.935636,0.37,0.899449,0.65,0.145909,0.67,0.0994264,0.369695471,0.669753198,0.300057727,,
1,1,0.17,0.918544,0.19,0.89957,0.47,0.124815,0.49,0.0998573,0.189546748,0.489885647,0.300338898,,
17,2,0.23,0.904977,0.25,0.88,0.53,0.104863,0.55,0.0832482,0.233985266,0.534499695,0.300514428,,
13,10,0.59,0.920977,0.61,0.887967,0.89,0.124582,0.91,0.0874109,0.602709482,0.903226404,0.300516922,,
16,5,0.37,0.917001,0.39,0.872807,0.67,0.111655,0.69,0.0837414,0.377693805,0.678350768,0.300656963,,
18,6,0.41,0.914286,0.43,0.893453,0.71,0.139756,0.73,0.0854197,0.423714779,0.724633311,0.300918532,,
3,5,0.35,0.906349,0.37,0.883392,0.65,0.11122,0.67,0.0774869,0.355531211,0.65665222,0.301121009,,
16,4,0.31,0.926995,0.33,0.891147,0.61,0.148093,0.63,0.0886896,0.325060812,0.626192002,0.30113119,,
13,9,0.55,0.905918,0.57,0.862605,0.85,0.105071,0.87,0.081172,0.552732667,0.854243692,0.301511025,,
12,11,0.65,0.909209,0.67,0.854305,0.95,0.105112,0.97,0.0843434,0.653354583,0.954922816,0.301568234,,
6,4,0.31,0.910653,0.33,0.894286,0.61,0.12557,0.63,0.0920245,0.323017657,0.625244966,0.302227308,,
1,7,0.45,0.929874,0.47,0.899658,0.77,0.103358,0.79,0.070122,0.46977363,0.7720207,0.302247071,,
9,11,0.61,0.929674,0.63,0.895425,0.91,0.140504,0.93,0.0994017,0.627328389,0.929708873,0.302380484,,
6,8,0.49,0.919811,0.51,0.862483,0.79,0.112337,0.81,0.0859259,0.496911457,0.799342284,0.302430827,,
11,2,0.21,0.934579,0.23,0.89037,0.51,0.148569,0.53,0.0950081,0.225643421,0.528135991,0.30249257,,
4,3,0.27,0.90056,0.29,0.872038,0.57,0.104177,0.59,0.075443,0.270392679,0.572907357,0.302514678,,
16,7,0.45,0.933048,0.47,0.889019,0.75,0.152653,0.77,0.0939664,0.465011924,0.76794379,0.302931866,,
1,9,0.55,0.904321,0.57,0.883578,0.85,0.113793,0.87,0.0760437,0.554166225,0.857307685,0.30314146,,
15,4,0.31,0.93719,0.33,0.881579,0.61,0.131951,0.63,0.093861,0.323375052,0.626776582,0.30340153,,
5,6,0.41,0.921405,0.43,0.882429,0.71,0.113236,0.73,0.0948617,0.420983682,0.724407079,0.303423397,,
7,9,0.55,0.910663,0.57,0.890511,0.85,0.136499,0.87,0.0849105,0.560582572,0.864150053,0.30356748,,
12,9,0.53,0.943262,0.55,0.884323,0.83,0.135256,0.85,0.0972894,0.544680263,0.848572113,0.303891851,,
19,4,0.31,0.91568,0.33,0.888598,0.61,0.131308,0.63,0.0911854,0.321579647,0.625606167,0.30402652,,
20,1,0.19,0.900332,0.21,0.886792,0.49,0.107848,0.51,0.074664,0.190490399,0.49472999,0.304239592,,
2,7,0.47,0.935792,0.49,0.880233,0.77,0.148038,0.79,0.0931034,0.482884321,0.78748916,0.304604839,,
2,4,0.33,0.92381,0.35,0.884307,0.63,0.138682,0.65,0.0932292,0.342054781,0.647020734,0.304965953,,
6,10,0.57,0.912338,0.59,0.885989,0.87,0.122671,0.89,0.0916824,0.579365061,0.884631832,0.305266771,,
18,7,0.45,0.921569,0.47,0.88111,0.75,0.144076,0.77,0.0889236,0.460662152,0.765983348,0.305321196,,
9,3,0.25,0.907666,0.27,0.886536,0.55,0.134441,0.57,0.0801771,0.257256034,0.56269389,0.305437856,,
1,11,0.63,0.927046,0.65,0.886364,0.93,0.123716,0.95,0.0989729,0.643296298,0.949169789,0.305873491,,
13,11,0.65,0.924896,0.67,0.8779,0.95,0.121466,0.97,0.0955028,0.660594944,0.966535712,0.305940768,,
6,9,0.53,0.908116,0.55,0.878517,0.83,0.129242,0.85,0.0783715,0.535483969,0.841496643,0.306012674,,
9,7,0.43,0.933884,0.45,0.892857,0.75,0.10472,0.77,0.0689484,0.446517903,0.752638965,0.306121062,,
7,4,0.31,0.932258,0.33,0.88848,0.63,0.102726,0.65,0.0622428,0.324737083,0.631346731,0.306609649,,
16,11,0.65,0.932088,0.67,0.87044,0.95,0.123796,0.97,0.0961538,0.66041007,0.967217153,0.306807083,,
15,8,0.51,0.91634,0.53,0.895455,0.83,0.102746,0.85,0.0809191,0.525647594,0.832516161,0.306868567,,
10,8,0.49,0.928115,0.51,0.880857,0.79,0.132555,0.81,0.0978947,0.501898515,0.808785181,0.306886666,,
2,9,0.57,0.905325,0.59,0.881013,0.87,0.113614,0.89,0.0900337,0.574380553,0.881546927,0.307166374,,
2,2,0.23,0.916404,0.25,0.896296,0.55,0.106404,0.57,0.0708543,0.246315894,0.553602843,0.307286949,,
8,9,0.55,0.930091,0.57,0.883005,0.87,0.100099,0.89,0.0763689,0.562781294,0.870083438,0.307302145,,
5,4,0.31,0.927487,0.33,0.87859,0.61,0.127007,0.63,0.098263,0.321242817,0.6287914,0.307548583,,
16,10,0.59,0.922942,0.61,0.88366,0.89,0.148259,0.91,0.0987415,0.601680668,0.909491695,0.307811027,,
7,10,0.59,0.938511,0.61,0.888158,0.91,0.106614,0.93,0.0718447,0.605296407,0.913804506,0.308508098,,
13,8,0.49,0.931217,0.51,0.898659,0.81,0.11658,0.83,0.0737327,0.509176239,0.817739111,0.308562871,,
12,3,0.25,0.935315,0.27,0.89271,0.57,0.106646,0.59,0.0811224,0.266577866,0.575207729,0.308629863,,
20,7,0.45,0.907018,0.47,0.898281,0.77,0.110082,0.79,0.0678497,0.466065011,0.774774545,0.308709534,,
11,6,0.41,0.920168,0.43,0.881143,0.71,0.138144,0.73,0.098263,0.420335939,0.729128909,0.30879297,,
15,6,0.41,0.916209,0.43,0.870787,0.71,0.128884,0.73,0.0931174,0.41713707,0.726151381,0.309014311,,
12,2,0.21,0.9254,0.23,0.892663,0.53,0.109737,0.55,0.0700409,0.22551761,0.534905772,0.309388162,,
4,2,0.21,0.937394,0.23,0.879032,0.53,0.105136,0.55,0.0722279,0.222814503,0.53312142,0.310306917,,
13,6,0.39,0.930966,0.41,0.899497,0.71,0.113265,0.73,0.08822,0.40968032,0.720592933,0.310912612,,
6,2,0.21,0.92562,0.23,0.896142,0.53,0.113083,0.55,0.082008,0.227382455,0.538420274,0.311037819,,
3,6,0.37,0.933837,0.39,0.889256,0.69,0.108134,0.71,0.0823648,0.385180009,0.696312963,0.311132953,,
17,5,0.35,0.940299,0.37,0.895095,0.67,0.119799,0.69,0.078,0.367829838,0.679473432,0.311643594,,
3,11,0.63,0.920471,0.65,0.870413,0.95,0.101647,0.97,0.074858,0.638178912,0.951229609,0.313050697,,
6,5,0.33,0.940695,0.35,0.899642,0.65,0.134867,0.67,0.0811359,0.349825591,0.662978331,0.31315274,,
6,6,0.39,0.904661,0.41,0.868421,0.69,0.129864,0.71,0.0927218,0.392572296,0.7060809,0.313508604,,
7,8,0.49,0.920382,0.51,0.892905,0.81,0.115324,0.83,0.0799605,0.504835681,0.818666563,0.313830882,,
4,4,0.31,0.916547,0.33,0.890346,0.63,0.109109,0.65,0.0809952,0.322630816,0.636480092,0.313849276,,
11,10,0.61,0.922078,0.63,0.87935,0.93,0.105124,0.95,0.0821211,0.620334207,0.93445509,0.314120883,,
19,10,0.57,0.927152,0.59,0.897541,0.89,0.128878,0.91,0.0846968,0.588339131,0.903072529,0.314733398,,
3,10,0.57,0.913793,0.59,0.889503,0.89,0.114674,0.91,0.0732287,0.581356937,0.897081141,0.315724204,,
19,1,0.17,0.908475,0.19,0.876404,0.49,0.103013,0.51,0.0543699,0.175285149,0.491238819,0.31595367,,
20,11,0.63,0.937086,0.65,0.894665,0.95,0.121513,0.97,0.090954,0.647484736,0.964079649,0.316594913,,
20,2,0.21,0.913628,0.23,0.883077,0.53,0.109467,0.55,0.0818273,0.218921476,0.536850291,0.317928816,,
14,11,0.63,0.9072,0.65,0.891219,0.95,0.1077,0.97,0.0866966,0.6390107,0.957332146,0.318321446,,
18,9,0.55,0.908661,0.57,0.888745,0.87,0.112576,0.89,0.0778055,0.55869753,0.877233718,0.318536189,,
19,8,0.47,0.917625,0.49,0.889803,0.79,0.120451,0.81,0.0842724,0.48266983,0.801305578,0.318635749,,
2,5,0.37,0.90309,0.39,0.868873,0.69,0.101315,0.71,0.0712494,0.37180612,0.690874754,0.319068634,,
11,7,0.45,0.932081,0.47,0.9,0.77,0.125885,0.79,0.09909,0.47,0.789320769,0.319320769,,
18,10,0.61,0.904092,0.63,0.864835,0.93,0.103052,0.95,0.0689655,0.612084724,0.931790738,0.319706015,,
5,9,0.55,0.920341,0.57,0.881376,0.87,0.121927,0.89,0.079312,0.560440652,0.880290743,0.319850091,,
2,6,0.41,0.923913,0.43,0.888604,0.73,0.135189,0.75,0.0836653,0.423544989,0.743659345,0.320114357,,
10,7,0.43,0.914815,0.45,0.882948,0.75,0.11558,0.77,0.0829918,0.43929802,0.759561743,0.320263723,,
2,10,0.59,0.927342,0.61,0.890815,0.91,0.12512,0.93,0.0931788,0.604970843,0.925728902,0.320758058,,
19,11,0.63,0.918803,0.65,0.881266,0.95,0.113575,0.97,0.0888546,0.640018382,0.960982832,0.32096445,,
1,4,0.31,0.901274,0.33,0.857868,0.63,0.10303,0.65,0.0659898,0.310587016,0.63163606,0.321049045,,
15,7,0.45,0.910486,0.47,0.888355,0.77,0.115942,0.79,0.0869565,0.4594763,0.780999983,0.321523683,,
1,5,0.35,0.910256,0.37,0.875161,0.67,0.116407,0.69,0.0790609,0.355844707,0.67878646,0.322941752,,
19,2,0.21,0.900621,0.23,0.890014,0.53,0.106918,0.55,0.075618,0.211170925,0.534420447,0.323249522,,
5,10,0.59,0.927454,0.61,0.889435,0.91,0.123255,0.93,0.0986691,0.604442253,0.928917347,0.324475094,,
4,8,0.51,0.915042,0.53,0.868032,0.83,0.113842,0.85,0.0889111,0.516399489,0.841104292,0.324704803,,
8,8,0.49,0.928571,0.51,0.882448,0.81,0.128125,0.83,0.0952624,0.502389047,0.827116722,0.324727676,,
11,9,0.55,0.918605,0.57,0.892068,0.87,0.136628,0.89,0.0979631,0.564021932,0.888946383,0.324924451,,
18,8,0.49,0.921697,0.51,0.898977,0.83,0.108566,0.85,0.0685686,0.509099472,0.834283278,0.325183807,,
4,7,0.45,0.919818,0.47,0.891358,0.77,0.142276,0.79,0.0984029,0.463926915,0.789271946,0.325345031,,
10,10,0.57,0.917431,0.59,0.89441,0.91,0.100683,0.93,0.0810811,0.585143565,0.910696871,0.325553307,,
16,6,0.39,0.910035,0.41,0.88647,0.71,0.123518,0.73,0.0902475,0.398516868,0.724137449,0.325620581,,
15,5,0.33,0.930886,0.35,0.893728,0.67,0.103831,0.69,0.0763598,0.346624146,0.672789103,0.326164957,,
5,8,0.49,0.917466,0.51,0.865772,0.81,0.129192,0.83,0.0896057,0.496757457,0.824748537,0.327991079,,
4,6,0.41,0.917749,0.43,0.85461,0.73,0.115558,0.75,0.0950203,0.415622199,0.745150674,0.329528475,,
4,5,0.35,0.910949,0.37,0.889447,0.67,0.137186,0.69,0.0998495,0.360184169,0.689919382,0.329735213,,
4,10,0.59,0.908012,0.61,0.898417,0.93,0.109931,0.95,0.081297,0.606700365,0.936936509,0.330236144,,
9,8,0.45,0.913486,0.47,0.893309,0.79,0.115869,0.81,0.0735597,0.463367696,0.797501424,0.334133728,,
4,9,0.55,0.905724,0.57,0.876478,0.87,0.144406,0.89,0.099587,0.553914381,0.889815703,0.335901322,,
10,9,0.51,0.927505,0.53,0.899281,0.85,0.127318,0.87,0.09355,0.529490505,0.866179815,0.336689311,,
19,9,0.51,0.924152,0.53,0.886503,0.85,0.114937,0.87,0.0846794,0.522830088,0.859873222,0.337043133,,
11,8,0.49,0.908197,0.51,0.89881,0.83,0.125845,0.85,0.0904472,0.507464579,0.844602602,0.337138024,,
20,8,0.47,0.92439,0.49,0.890943,0.81,0.123862,0.83,0.0901844,0.484584268,0.824170844,0.339586576,,
11,5,0.33,0.919255,0.35,0.893885,0.67,0.127919,0.69,0.097951,0.345179346,0.688632541,0.343453196,,
7,11,0.63,0.904059,0.65,0.898529,0.97,0.117647,0.99,0.0984394,0.644679928,0.988375018,0.343695091,,
12,1,0.13,0.934545,0.15,0.898352,0.49,0.107087,0.51,0.0752212,0.149089327,0.494448029,0.345358702,,
20,9,0.47,0.933962,0.49,0.9,0.85,0.127988,0.87,0.0847629,0.49,0.862949883,0.372949883,,
14,5,0.13,0.916667,0.15,0.875,0.65,0.133858,0.67,0.0984029,0.138000096,0.669099086,0.53109899,,
8,6,0.05,0.928571,0.07,0.842105,0.71,0.121495,0.73,0.0995976,0.056608609,0.729632468,0.673023859,,
1,6,0.13,1,0.15,0.8,0.71,0.125191,0.73,0.0813725,0.14,0.721497883,NAN,,
2,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
3,2,0.99,0,0.01,0.888889,0.51,0.111111,0.53,0.0759364,1.010249997,0.516317627,NAN,,
5,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
7,2,0.99,0,0.01,0.9,0.53,0.104781,0.55,0.0846304,1.01,0.534745268,NAN,,
7,3,0.99,0,0.01,0.789474,0.57,0.120542,0.59,0.0804769,1.012799991,0.580254311,NAN,,
8,5,0.05,1,0.07,0.6,0.67,0.130818,0.69,0.0912316,0.055,0.685569994,NAN,,
8,7,0.03,1,0.05,0.888889,0.77,0.101358,0.79,0.0846614,0.048000018,0.771626678,NAN,,
8,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
9,9,0.31,1,0.33,0.833333,0.83,0.115478,0.85,0.0898652,0.321999976,0.842086144,NAN,,
10,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
12,4,0.03,1,0.05,0.8,0.61,0.112853,0.63,0.0877282,0.04,0.620231325,NAN,,
12,5,0.99,0,0.01,0.5,0.01,0.5,0.03,0,1.026,0.026,NAN,,
12,6,0.99,0,0.01,0.611111,0.69,0.130301,0.71,0.0988142,1.019454551,0.709246795,NAN,,
12,7,0.99,0,0.01,0.876712,0.75,0.12251,0.77,0.0824795,1.010531258,0.761246425,NAN,,
12,10,0.35,1,0.37,0.75,0.89,0.121287,0.91,0.095373,0.358,0.906428957,NAN,,
14,6,0.13,1,0.15,0.777778,0.71,0.102705,0.73,0.0777332,0.139000009,0.712166444,NAN,,
15,9,0.21,1,0.23,0.666667,0.87,0.126969,0.89,0.0943306,0.216000006,0.886525933,NAN,,
17,8,0.27,1,0.29,0.9,0.81,0.108122,0.83,0.058325,0.29,0.813262044,NAN,,
17,9,0.29,1,0.31,0.863636,0.85,0.115816,0.87,0.0706468,0.304666628,0.857003002,NAN,,
17,10,0.27,10000,0.29,0.714286,0.89,0.105187,0.91,0.0694507,0.289999629,0.892902931,NAN,,
18,5,0.09,1,0.11,0.8,0.67,0.116218,0.69,0.0680346,0.1,0.676731779,NAN,,
18,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
