"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nosF",7,0.0118,0,NA,1,84.5,0.00688134735,4.927e-06,0.00109765035,1.614e-07,39353.992145,4932160.5849,NA,0,NA,0,NA,1,0.76355305,0,NA,1,0,0,0,0,0,0,0,1,8545.0396072,NA,8545.0396072,NA
"nosF",7,0.0156,0,NA,1,92.75,0.00932899735,1.182e-05,0.0015394196,4.1415e-07,36709.891656,7242314.40285,NA,0,NA,0,NA,1,0.82377775,0,NA,1,0,0,0,0,0,0,0,1,6835.5411393,NA,6835.5411393,NA
"nosF",7,0.0194,0,NA,1,84.35,0.0111763668,2.371e-05,0.00194121165,9.703e-07,34266.8763115,11182877.0861,NA,0,NA,0,NA,1,0.8490141,0,NA,1,0,0,0,0,0,0,0,1,5769.35451935,NA,5769.35451935,NA
"nosF",7,0.0232,0,NA,1,79.75,0.01279369895,6.294555e-05,0.0024025715,7.25165e-06,31877.7196015,15783267.6465,NA,0,NA,0,NA,1,0.86524125,0,NA,1,0,0,0,0,0,0,0,1,4943.4713753,NA,4943.4713753,NA
"nosF",7,0.027,0,NA,1,74.55,0.01362054895,5.266e-05,0.00263207995,2.438e-06,29903.188764,17013442.753,NA,0,NA,0,NA,1,0.88360175,0,NA,1,0,0,0,0,0,0,0,1,4361.13263725,NA,4361.13263725,NA
"nosF",7,0.0308,0,NA,1,71.1,0.0145796662,9.71262e-05,0.0030297745,8.93e-06,28137.8748515,22517138.9045,NA,0,NA,0,NA,1,0.895896,0,NA,1,0,0,0,0,0,0,0,1,3918.07345445,NA,3918.07345445,NA
"nosF",7,0.0346,0.05,108,0.95,65.4736842105263,0.0154477137368421,0.000141151368421053,0.00343443657894737,1.61710526315789e-05,26495.6812073684,27218015.6931579,NA,0,NA,0,NA,0.95,0.896560368421053,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3561.72924568421,NA,3561.72924568421,NA
"nosF",7,0.0384,0.15,113,0.9,64.7222222222222,0.0295137406666667,0.00103445083333333,0.0113386257777778,0.0002953835,23780.7435024444,28529303.7291111,47,0,NA,0,NA,0.85,0.900570529411765,0,NA,0.85,0,0,0,0.05,0,0.1,0,0.85,3258.06416537499,2153.879518,3259.02475247059,2153.879518
"nosF",7,0.0422,0.15,102.666666666667,0.9,59.1666666666667,0.0254850307777778,0.001496558,0.007389393,0.000268438777777778,22778.3782501667,37568172.9794444,41,0,NA,0,NA,0.85,0.905508647058824,0,NA,0.85,0,0,0,0.05,0,0.1,0,0.85,3004.60923688919,5809.948052,3002.48028247059,5809.948052
"nosF",7,0.046,0.2,105.75,0.9,55.5,0.0284797716111111,0.00372782044444444,0.00885832794444444,0.000553556277777778,21500.5617941667,56975435.9516667,49.5,0,NA,0,NA,0.8,0.9167036875,0,NA,0.8,0,0,0,0.1,0,0.1,0,0.8,2820.23063585128,5887.85704651515,2814.2580309375,5887.85704651515
"nosF",8,0.008,0,NA,1,80.9,0.00368506215,1.23925e-06,0.00057575455,3.635e-08,42273.727138,2366006.2225,NA,0,NA,0,NA,1,0.69512615,0,NA,1,0,0,0,0,0,0,0,1,11255.659756,NA,11255.659756,NA
"nosF",8,0.0118,0,NA,1,91.25,0.0065862051,4.4825e-06,0.0009684215,1.24705e-07,40739.042823,4334266.54505,NA,0,NA,0,NA,1,0.7689211,0,NA,1,0,0,0,0,0,0,0,1,8592.76306805,NA,8592.76306805,NA
"nosF",8,0.0156,0,NA,1,93.5,0.00889841405,1.07405e-05,0.00135420455,3.634e-07,38341.505083,7380358.1298,NA,0,NA,0,NA,1,0.82936685,0,NA,1,0,0,0,0,0,0,0,1,6929.9713942,NA,6929.9713942,NA
"nosF",8,0.0194,0,NA,1,84.2,0.0104848501,2.026e-05,0.00165157895,6.804e-07,36020.7117815,9836596.71545,NA,0,NA,0,NA,1,0.8532296,0,NA,1,0,0,0,0,0,0,0,1,5834.75037765,NA,5834.75037765,NA
"nosF",8,0.0232,0,NA,1,80,0.0116220096,3.4205e-05,0.0019488179,1.42385e-06,33825.5369165,13610092.7735,NA,0,NA,0,NA,1,0.86579365,0,NA,1,0,0,0,0,0,0,0,1,5032.2384043,NA,5032.2384043,NA
"nosF",8,0.027,0,NA,1,75.5,0.01270563295,5.12081e-05,0.0022591564,3.816e-06,31779.024164,16187367.1785,NA,0,NA,0,NA,1,0.8845548,0,NA,1,0,0,0,0,0,0,0,1,4426.0769008,NA,4426.0769008,NA
"nosF",8,0.0308,0,NA,1,68.2,0.0132618401,6.456585e-05,0.0024930254,4.255e-06,30064.9649605,20012412.7995,NA,0,NA,0,NA,1,0.8947225,0,NA,1,0,0,0,0,0,0,0,1,3992.51093885,NA,3992.51093885,NA
"nosF",8,0.0346,0,NA,1,66.15,0.01411111315,8.54323e-05,0.0028226402,8.82e-06,28331.2125765,23272564.1855,NA,0,NA,0,NA,1,0.9068386,0,NA,1,0,0,0,0,0,0,0,1,3599.9371682,NA,3599.9371682,NA
"nosF",8,0.0384,0,NA,1,62.9,0.0147771513,0.0001363421,0.00312509415,1.38425e-05,27077.870411,29354141.2155,NA,0,NA,0,NA,1,0.91614165,0,NA,1,0,0,0,0,0,0,0,1,3353.7810018,NA,3353.7810018,NA
"nosF",8,0.0422,0.1,101,0.9,58.3888888888889,0.0149368645555556,0.000130771555555556,0.00335446438888889,1.5305e-05,25637.2076027778,29761701.4577778,NA,0,NA,0,NA,0.9,0.921185111111111,0,NA,0.9,0,0,0,0,0,0.1,0,0.9,3053.56242227778,NA,3053.56242227778,NA
"nosF",8,0.046,0.15,95,0.85,56.4705882352941,0.0151689723529412,0.000212039941176471,0.00355110747058824,2.33386470588235e-05,24528.5345523529,35179978.05,NA,0,NA,0,NA,0.85,0.921628352941177,0,NA,0.85,0,0,0,0,0,0.15,0,0.85,2865.70365917647,NA,2865.70365917647,NA
"nosF",9,0.008,0,NA,1,72.45,0.0036154248,1.2805e-06,0.00052579325,3.0565e-08,43202.0096375,2309745.2538,NA,0,NA,0,NA,1,0.70014515,0,NA,1,0,0,0,0,0,0,0,1,11339.8002675,NA,11339.8002675,NA
"nosF",9,0.0118,0,NA,1,96.7,0.00638776725,4.557e-06,0.00088152085,1.1994e-07,41869.306249,4205412.41115,NA,0,NA,0,NA,1,0.78994675,0,NA,1,0,0,0,0,0,0,0,1,8617.81629815,NA,8617.81629815,NA
"nosF",9,0.0156,0,NA,1,94.75,0.008541711,1.0848e-05,0.00120717965,3.213e-07,39636.120285,6924892.68255,NA,0,NA,0,NA,1,0.83143005,0,NA,1,0,0,0,0,0,0,0,1,6969.72564585,NA,6969.72564585,NA
"nosF",9,0.0194,0,NA,1,83.9,0.01007029865,1.821e-05,0.0014766571,5.5335e-07,37419.9738935,9099016.64285,NA,0,NA,0,NA,1,0.8597973,0,NA,1,0,0,0,0,0,0,0,1,5889.46902365,NA,5889.46902365,NA
"nosF",9,0.0232,0,NA,1,78.1,0.0113000212,3.651695e-05,0.00178373355,1.9251e-06,35252.058211,13082658.75525,NA,0,NA,0,NA,1,0.8825579,0,NA,1,0,0,0,0,0,0,0,1,5094.22926605,NA,5094.22926605,NA
"nosF",9,0.027,0,NA,1,73.1,0.01217893255,7.132455e-05,0.00202593025,4.57415e-06,33296.522542,16190979.6985,NA,0,NA,0,NA,1,0.88958625,0,NA,1,0,0,0,0,0,0,0,1,4489.9670983,NA,4489.9670983,NA
"nosF",9,0.0308,0,NA,1,67.75,0.0129753686,0.00010028705,0.00231599755,1.11715e-05,31540.1001045,20669570.7635,NA,0,NA,0,NA,1,0.9001998,0,NA,1,0,0,0,0,0,0,0,1,4048.1553063,NA,4048.1553063,NA
"nosF",9,0.0346,0.05,98,0.95,65.7894736842105,0.0133526682631579,7.43376315789474e-05,0.00243384247368421,4.84052631578947e-06,30029.9578710526,22349606.4731579,NA,0,NA,0,NA,0.95,0.913492421052632,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3665.18499052632,NA,3665.18499052632,NA
"nosF",9,0.0384,0,NA,1,60.3,0.01376481055,9.67364e-05,0.002652407,7.4435e-06,28578.267226,25501766.1445,NA,0,NA,0,NA,1,0.9068469,0,NA,1,0,0,0,0,0,0,0,1,3374.16066625,NA,3374.16066625,NA
"nosF",9,0.0422,0.05,102,0.95,57.7368421052632,0.0139468600526316,0.000139719315789474,0.00283717668421053,1.39557894736842e-05,27542.4411252632,30477478.1826316,NA,0,NA,0,NA,0.95,0.919350894736842,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3162.88725715789,NA,3162.88725715789,NA
"nosF",9,0.046,0.1,97,0.95,54.8947368421053,0.0161345458421053,0.000309268105263158,0.00338772268421053,2.08321578947368e-05,25952.9439184211,41848779.4626316,39,0,NA,0,NA,0.9,0.926234666666667,0,NA,0.9,0,0,0,0.05,0,0.05,0,0.9,2931.11880817279,8132.418919,2927.57271516667,8132.418919
"nosF",10,0.008,0,NA,1,74.7,0.00357073215,1.2239e-06,0.00048977505,2.8825e-08,43950.116061,2220473.99935,NA,0,NA,0,NA,1,0.71176915,0,NA,1,0,0,0,0,0,0,0,1,11375.794491,NA,11375.794491,NA
"nosF",10,0.0118,0,NA,1,94.35,0.00627960955,4.3395e-06,0.00081771085,1.0582e-07,42794.8535435,3997439.18885,NA,0,NA,0,NA,1,0.79239395,0,NA,1,0,0,0,0,0,0,0,1,8661.5402715,NA,8661.5402715,NA
"nosF",10,0.0156,0,NA,1,90.45,0.0082448179,9.8475e-06,0.0010971109,2.592e-07,40717.1125555,6473229.9635,NA,0,NA,0,NA,1,0.85228305,0,NA,1,0,0,0,0,0,0,0,1,7015.4087862,NA,7015.4087862,NA
"nosF",10,0.0194,0,NA,1,83.7,0.0097186174,1.777e-05,0.00133107805,4.6885e-07,38567.6124495,8587134.20885,NA,0,NA,0,NA,1,0.86829425,0,NA,1,0,0,0,0,0,0,0,1,5914.55916425,NA,5914.55916425,NA
"nosF",10,0.0232,0,NA,1,78.6,0.0107704961,3.095e-05,0.0015600449,1.44195e-06,36595.588797,12268954.42005,NA,0,NA,0,NA,1,0.8845676,0,NA,1,0,0,0,0,0,0,0,1,5140.136081,NA,5140.136081,NA
"nosF",10,0.027,0,NA,1,74.75,0.0116838309,4.545365e-05,0.001771353,2.06345e-06,34739.052488,14696342.7135,NA,0,NA,0,NA,1,0.90242765,0,NA,1,0,0,0,0,0,0,0,1,4558.1602942,NA,4558.1602942,NA
"nosF",10,0.0308,0,NA,1,69.75,0.01238017475,6.272915e-05,0.00199959185,3.5339e-06,32991.0820275,18913146.8035,NA,0,NA,0,NA,1,0.9112761,0,NA,1,0,0,0,0,0,0,0,1,4093.87077065,NA,4093.87077065,NA
"nosF",10,0.0346,0,NA,1,63.8,0.0128878727,8.610985e-05,0.00221251275,7.8555e-06,31419.8000615,21144218.0085,NA,0,NA,0,NA,1,0.91974375,0,NA,1,0,0,0,0,0,0,0,1,3729.55711195,NA,3729.55711195,NA
"nosF",10,0.0384,0.05,99,0.95,60.5789473684211,0.0129678157894737,7.11307894736842e-05,0.00228677121052632,4.46368421052632e-06,30025.7102621053,24091838.2326316,NA,0,NA,0,NA,0.95,0.916738210526316,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3422.65087468421,NA,3422.65087468421,NA
"nosF",10,0.0422,0.05,140,1,56.85,0.0248396922,0.0016770803,0.0064260868,0.00016536775,27817.284596,30327364.865,68,0,NA,0,NA,0.95,0.926900473684211,0,NA,0.95,0,0,0,0.05,0,0,0,0.95,3184.99703320589,4708.944444,3183.28081936842,4708.944444
"nosF",10,0.046,0.15,104.666666666667,0.9,55.9444444444444,0.0176053761111111,0.000447571611111111,0.00375166188888889,3.50747777777778e-05,26710.6311305556,34367628.1444444,54,0,NA,0,NA,0.85,0.922499176470588,0,NA,0.85,0,0,0,0.05,0,0.1,0,0.85,2963.55989279075,5278.191011,2961.24637558824,5278.191011
"nosF",11,0.008,0,NA,1,75.15,0.0035718468,1.3765e-06,0.0004667116,2.7875e-08,44547.9033755,2127313.3025,NA,0,NA,0,NA,1,0.72485305,0,NA,1,0,0,0,0,0,0,0,1,11417.695408,NA,11417.695408,NA
"nosF",11,0.0118,0,NA,1,92.35,0.00616114385,4.4475e-06,0.0007632654,9.645e-08,43596.8457785,3944735.5246,NA,0,NA,0,NA,1,0.80221055,0,NA,1,0,0,0,0,0,0,0,1,8703.70449695,NA,8703.70449695,NA
"nosF",11,0.0156,0,NA,1,94.5,0.00798147945,9.1325e-06,0.00099694115,2.118e-07,41724.8397905,5809510.74455,NA,0,NA,0,NA,1,0.8510116,0,NA,1,0,0,0,0,0,0,0,1,7041.7318773,NA,7041.7318773,NA
"nosF",11,0.0194,0,NA,1,85.5,0.0094783075,1.6585e-05,0.0012315767,4.689e-07,39635.0071345,8384732.4177,NA,0,NA,0,NA,1,0.8736308,0,NA,1,0,0,0,0,0,0,0,1,5957.0103671,NA,5957.0103671,NA
"nosF",11,0.0232,0,NA,1,80.35,0.01055902605,2.549e-05,0.0014237282,9.4285e-07,37757.5953815,11543483.02725,NA,0,NA,0,NA,1,0.8869951,0,NA,1,0,0,0,0,0,0,0,1,5205.8223891,NA,5205.8223891,NA
"nosF",11,0.027,0,NA,1,72.65,0.01126159555,3.5815e-05,0.00159253065,1.19085e-06,35842.729146,14303811.447,NA,0,NA,0,NA,1,0.8980498,0,NA,1,0,0,0,0,0,0,0,1,4594.1727627,NA,4594.1727627,NA
"nosF",11,0.0308,0,NA,1,69.9,0.01208684245,6.199265e-05,0.00179489195,3.0366e-06,34236.923369,18419383.0065,NA,0,NA,0,NA,1,0.9010381,0,NA,1,0,0,0,0,0,0,0,1,4156.5477447,NA,4156.5477447,NA
"nosF",11,0.0346,0,NA,1,64.25,0.01266518115,9.89201e-05,0.002040693,7.623e-06,32640.698062,21876726.2045,NA,0,NA,0,NA,1,0.9202272,0,NA,1,0,0,0,0,0,0,0,1,3782.6259904,NA,3782.6259904,NA
"nosF",11,0.0384,0.05,123,1,60.55,0.0244942579,0.00318781285,0.00517147565,0.00038469985,30365.475044,33391333.932,47,0,NA,0,NA,0.95,0.918119578947368,0,NA,0.95,0,0,0,0.05,0,0,0,0.95,3476.82101442979,6126,3474.75895268421,6126
"nosF",11,0.0422,0.05,107,0.95,58.6842105263158,0.0128796592105263,0.000110488789473684,0.00224973636842105,1.12673684210526e-05,30169.3608052632,26501874.3563158,NA,0,NA,0,NA,0.95,0.933026368421053,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3222.73258294737,NA,3222.73258294737,NA
"nosF",11,0.046,0.2,99.75,0.85,58.2941176470588,0.0184527559411765,0.000409466823529412,0.00421947282352941,6.06734705882353e-05,28016.0755841176,39042533.7411765,47,0,NA,0,NA,0.8,0.933593625,0,NA,0.8,0,0,0,0.05,0,0.15,0,0.8,3009.54201166339,6353.845238,3006.4507936875,6353.845238
"nosF",12,0.008,0,NA,1,86.85,0.00352465985,1.3238e-06,0.00044406625,2.5555e-08,45075.4792095,1904155.0285,NA,0,NA,0,NA,1,0.71102675,0,NA,1,0,0,0,0,0,0,0,1,11413.251475,NA,11413.251475,NA
"nosF",12,0.0118,0,NA,1,90.25,0.00607439975,4.807e-06,0.00071235215,8.5705e-08,44330.831221,3543128.1246,NA,0,NA,0,NA,1,0.80481555,0,NA,1,0,0,0,0,0,0,0,1,8736.79113195,NA,8736.79113195,NA
"nosF",12,0.0156,0,NA,1,92.2,0.007852051,9.002e-06,0.0009463272,1.9215e-07,42460.8123305,5679111.9591,NA,0,NA,0,NA,1,0.85130615,0,NA,1,0,0,0,0,0,0,0,1,7073.66187125,NA,7073.66187125,NA
"nosF",12,0.0194,0,NA,1,84.55,0.00916786965,1.80215e-05,0.00112780665,5.2305e-07,40554.776471,8178691.03225,NA,0,NA,0,NA,1,0.87460245,0,NA,1,0,0,0,0,0,0,0,1,5994.73853515,NA,5994.73853515,NA
"nosF",12,0.0232,0,NA,1,79.35,0.01013284965,2.447e-05,0.00131168655,7.989e-07,38658.737876,10714687.7785,NA,0,NA,0,NA,1,0.89458385,0,NA,1,0,0,0,0,0,0,0,1,5216.78536705,NA,5216.78536705,NA
"nosF",12,0.027,0,NA,1,73.7,0.0108286501,4.66348e-05,0.0014727727,3.1606e-06,36908.3232805,13131114.2444,NA,0,NA,0,NA,1,0.90046295,0,NA,1,0,0,0,0,0,0,0,1,4625.1144151,NA,4625.1144151,NA
"nosF",12,0.0308,0,NA,1,70.85,0.0118745097,6.386195e-05,0.00170293075,5.132e-06,35199.7134615,17532807.8025,NA,0,NA,0,NA,1,0.91649895,0,NA,1,0,0,0,0,0,0,0,1,4177.70060615,NA,4177.70060615,NA
"nosF",12,0.0346,0,NA,1,63.95,0.01203462865,5.839065e-05,0.00177934605,2.93635e-06,33717.5970175,19312328.4815,NA,0,NA,0,NA,1,0.9192074,0,NA,1,0,0,0,0,0,0,0,1,3797.6228218,NA,3797.6228218,NA
"nosF",12,0.0384,0.05,103,0.95,62.4210526315789,0.0122147412631579,6.80069473684211e-05,0.00189346473684211,3.77315789473684e-06,32446.3332778947,22388843.3463158,NA,0,NA,0,NA,0.95,0.925417736842105,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3501.20344810526,NA,3501.20344810526,NA
"nosF",12,0.0422,0.05,121,0.95,56.6842105263158,0.0127558485789474,0.000136748894736842,0.00211696478947368,1.5747e-05,31198.7094636842,25586806.0015789,NA,0,NA,0,NA,0.95,0.931488894736842,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,3261.46512352632,NA,3261.46512352632,NA
"nosF",12,0.046,0.05,108,1,57.05,0.01868759125,0.0009374309,0.00336037025,6.923415e-05,29767.5301345,42947924.942,43,0,NA,0,NA,0.95,0.937340157894737,0,NA,0.95,0,0,0,0.05,0,0,0,0.95,3068.89676977541,7948.071429,3065.42214968421,7948.071429
